"Outcome_variable","Score","Outcome"
"Ecosystem_Services_Index",7.75,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.357142857142857,"Perceived restoration implementation"
"Expected_Outcomes_Index",3.375,"Expected restoration outcomes"
"Public_Support_Index",2.8333333333333335,"Public support for restoration"
"Ecosystem_Services_Index",8.875,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",4.071428571428571,"Perceived restoration implementation"
"Expected_Outcomes_Index",4.9375,"Expected restoration outcomes"
"Public_Support_Index",4,"Public support for restoration"
"Ecosystem_Services_Index",9.125,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",4.777777777777778,"Perceived restoration implementation"
"Expected_Outcomes_Index",4.923076923076923,"Expected restoration outcomes"
"Public_Support_Index",4.333333333333333,"Public support for restoration"
"Ecosystem_Services_Index",10,"Perceived importance of ecosystem services"
"Expected_Outcomes_Index",3,"Expected restoration outcomes"
"Public_Support_Index",1.8333333333333333,"Public support for restoration"
"Ecosystem_Services_Index",6.25,"Perceived importance of ecosystem services"
"Expected_Outcomes_Index",4,"Expected restoration outcomes"
"Public_Support_Index",4.166666666666667,"Public support for restoration"
"Ecosystem_Services_Index",5.75,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",4.357142857142857,"Perceived restoration implementation"
"Expected_Outcomes_Index",3.75,"Expected restoration outcomes"
"Public_Support_Index",3.6666666666666665,"Public support for restoration"
"Ecosystem_Services_Index",7.125,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",2.6,"Perceived restoration implementation"
"Public_Support_Index",3.5,"Public support for restoration"
"Ecosystem_Services_Index",7.5,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.4285714285714284,"Perceived restoration implementation"
"Expected_Outcomes_Index",4.083333333333333,"Expected restoration outcomes"
"Public_Support_Index",3,"Public support for restoration"
"Ecosystem_Services_Index",8.25,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.9285714285714284,"Perceived restoration implementation"
"Expected_Outcomes_Index",5,"Expected restoration outcomes"
"Public_Support_Index",3.5,"Public support for restoration"
"Ecosystem_Services_Index",10,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.1538461538461537,"Perceived restoration implementation"
"Expected_Outcomes_Index",2.923076923076923,"Expected restoration outcomes"
"Public_Support_Index",3.3333333333333335,"Public support for restoration"
"Ecosystem_Services_Index",7.875,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.642857142857143,"Perceived restoration implementation"
"Expected_Outcomes_Index",5,"Expected restoration outcomes"
"Public_Support_Index",2.6666666666666665,"Public support for restoration"
"Ecosystem_Services_Index",8.25,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.5454545454545454,"Perceived restoration implementation"
"Expected_Outcomes_Index",4.7,"Expected restoration outcomes"
"Public_Support_Index",3.3333333333333335,"Public support for restoration"
"Ecosystem_Services_Index",6.875,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.0714285714285716,"Perceived restoration implementation"
"Expected_Outcomes_Index",2.875,"Expected restoration outcomes"
"Public_Support_Index",2.8333333333333335,"Public support for restoration"
"Ecosystem_Services_Index",6.125,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3,"Perceived restoration implementation"
"Expected_Outcomes_Index",2.8666666666666667,"Expected restoration outcomes"
"Public_Support_Index",2.6666666666666665,"Public support for restoration"
"Ecosystem_Services_Index",8.875,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",4.2,"Perceived restoration implementation"
"Expected_Outcomes_Index",4.75,"Expected restoration outcomes"
"Public_Support_Index",5,"Public support for restoration"
"Ecosystem_Services_Index",8.75,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",2.9285714285714284,"Perceived restoration implementation"
"Expected_Outcomes_Index",3.3076923076923075,"Expected restoration outcomes"
"Public_Support_Index",2.3333333333333335,"Public support for restoration"
"Ecosystem_Services_Index",8.875,"Perceived importance of ecosystem services"
"Expected_Outcomes_Index",3.5833333333333335,"Expected restoration outcomes"
"Public_Support_Index",2.1666666666666665,"Public support for restoration"
"Ecosystem_Services_Index",6.625,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.0714285714285716,"Perceived restoration implementation"
"Expected_Outcomes_Index",3.9375,"Expected restoration outcomes"
"Public_Support_Index",3,"Public support for restoration"
"Ecosystem_Services_Index",7.375,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",3.272727272727273,"Perceived restoration implementation"
"Expected_Outcomes_Index",3.7142857142857144,"Expected restoration outcomes"
"Public_Support_Index",4,"Public support for restoration"
"Ecosystem_Services_Index",10,"Perceived importance of ecosystem services"
"Restoration_Implementation_Index",2.5,"Perceived restoration implementation"
"Expected_Outcomes_Index",2.8125,"Expected restoration outcomes"
